配信順序,送信タイミング,件名,メッセージ本文,リンクURL_1,リンクURL_2,画像ファイル名,A/Bテスト区分,備考
1,即座配信（登録直後）,【特典】お受け取りください,"【特典】お受け取りください

教材をお読みいただき
ありがとうございます。

まず、特典をお受け取りください：

✅ 恋愛パターン改善ワーク
↓こちらから↓
https://ne0ne.com/mn08t

30分後、特別なご提案をお送りします。",https://ne0ne.com/mn08t,,tokuten_button_orange.png,A,画像ボタン推奨・オレンジ系暖色
2,30分後,【72時間限定】教材読者限定 特別なご提案,"【72時間限定】教材読者限定
特別なご提案

恋愛パターン改善ワークはいかがでしたか？

多くの読者がこう感じます：
• 理論は理解できた
• 一人での実践に不安がある
• 成功した人の具体例を知りたい

実は、教材の内容は
無明会メンバーが実際に恋愛を変えた
プロセスを体系化したものです。

━━━━━━━━━━━━━━
 実際の変化事例
━━━━━━━━━━━━━━

• 30代女性：別れ寸前→3ヶ月で結婚
• 20代男性：恋愛経験不足→半年で恋人
• 40代女性：離婚後、真の愛を構築

変化の本質は【環境】です。

個人の意志力に頼らず
継続できる仕組みと仲間。

━━━━━━━━━━━━━━
【限定提案】
通常の月会費→1ヶ月お試し体験
無明会体験入会
━━━━━━━━━━━━━━

条件：教材購入者のみ
期限：残り71時間

⚠️ 期日過ぎ・定員到達で
このリンクは使えなくなります

今すぐ確認：
https://ne0ne.com/mn08lp

次のメッセージで
「なぜ今回限りなのか」をお話しします。",https://ne0ne.com/mn08lp,,taiken_button_blue.png,A,画像ボタン推奨・青系で目立たせる
3,24時間後,【残り47時間】なぜ今回限りなのか？,"【残り47時間】
なぜ今回限りなのか？

質問をいただきました：
「なぜお試し参加なのか？」
「なぜ今回だけなのか？」

理由をお話しします。

━━━━━━━━━━━━━━
【なぜ今回限りなのか】
━━━━━━━━━━━━━━

無明会の価値は「質」にあります。

1年半かけて築いた
深い信頼関係と学習環境。

人数が増えすぎると
この質は維持できません。

だからこそ、
教材を通じて
本質を理解した方にだけ
機会をお渡ししています。

━━━━━━━━━━━━━━
【なぜお試し参加なのか】
━━━━━━━━━━━━━━

無明会の価値は
「体験しないと分からない」ものです。

言葉で説明しても
環境の良さは伝わりません。

まず1ヶ月、お試し価格で体験して
「ここなら成長できる」
と感じていただいてから
正式参加を検討してください。

 体験者の声：
「一人では絶対に続かなかった
恋愛実践が自然に続けられる」
（20代女性・体験3週間目）

⏰ 残り時間：47時間
⚠️ 定員到達で即座終了

まだ申し込めます：
https://ne0ne.com/mn08lp

明日、最後のメッセージをお送りします。",https://ne0ne.com/mn08lp,,taiken_button_green.png,A,画像ボタン推奨・緑系で安心感
4,72時間後（最終日・午前）,【最終警告】今夜で受付終了,"【最終警告】今夜で受付終了

教材を読んでくださった皆さまへ

今夜、1ヶ月お試し体験のリンクが
アクセス不可となります。

この3日間で、
何を感じ、何を考えましたか？

━━━━━━━━━━━━━━
今、選択の時です
━━━━━━━━━━━━━━

A: このまま一人で実践を続ける
   → 同じパターンの繰り返し

B: 仲間と環境を選び、確実に変化する
   → 3ヶ月後、全く違う自分

恋愛は「修行」です。

一人では重すぎる課題も
同じ目標を持つ仲間がいれば
乗り越えられます。

無明会は恋愛コミュニティではありません。

 六波羅蜜を通じた根本的人格成長
 三毒を活用した内面の変革
 オンライン・オフライン融合環境

恋愛だけでなく
人生そのものが変わります。

⏰ 残り時間：12時間
 特典：1ヶ月お試し体験（通常の月会費相当）
⚠️ 今夜で期限切れになります

まだ間に合います：
https://ne0ne.com/mn08lp

どちらを選びますか？

次のメッセージで最後のご案内をお送りします。",https://ne0ne.com/mn08lp,,final_button_red.png,A,画像ボタン推奨・赤系で緊急性演出
5,72時間後（最終日・夜）,【最終案内】数時間で受付終了,"【最終案内】数時間で受付終了

教材を読んでくださった皆さまへ

今夜、1ヶ月お試し体験のリンクが
アクセス不可となります。

この3日間で、
何を感じ、何を考えましたか？

━━━━━━━━━━━━━━
今、選択の時です
━━━━━━━━━━━━━━

A: このまま一人で実践を続ける
   → 同じパターンの繰り返し

B: 仲間と環境を選び、確実に変化する
   → 3ヶ月後、全く違う自分

恋愛は「修行」です。

一人では重すぎる課題も
同じ目標を持つ仲間がいれば
乗り越えられます。

無明会は恋愛コミュニティではありません。

 六波羅蜜を通じた根本的人格成長
 三毒を活用した内面の変革
 オンライン・オフライン融合環境

恋愛だけでなく
人生そのものが変わります。

⏰ 残り時間：数時間
 特典：1ヶ月お試し体験（通常の月会費相当）
⚠️ 今夜で期限切れになります

まだ間に合います：
https://ne0ne.com/mn08lp

どちらを選びますか？

━━━━━━━━━━━━━━
追伸：
━━━━━━━━━━━━━━

迷いがあるなら、それが答えです。
本当に変わりたい人に迷いはありません。

しかし、少しでも
「成長したい」「変化したい」
という想いがあるなら

期限が切れる前に
一歩を踏み出してください。",https://ne0ne.com/mn08lp,,final_button_red.png,A,画像ボタン推奨・赤系で緊急性演出
6,リンク停止後,【募集終了】ありがとうございました,"【募集終了】ありがとうございました

教材読者の皆さまへ

3日間の限定募集を終了しました。

予定人数に達したため
リンクアクセスを停止いたします。

お申し込みいただけなかった方も
教材の内容を実践し
素晴らしい関係を築いてください。

本質は「相手ではなく自分」です。
自分が変われば、関係も変わります。

次回募集時期は未定ですが
機会があれば再度ご案内します。

改めて教材をお読みいただき
ありがとうございました。",,,,,フォローアップ・次回への期待値残し
,,,,,,,,
【A/Bテスト案】,,,,,,,,
1A,即座配信（登録直後）,【特典】お受け取りください,上記と同じ内容,特典受取ページURL,,tokuten_button_orange.png,A,オレンジ系ボタン
1B,即座配信（登録直後）,【特典】お受け取りください,上記と同じ内容,特典受取ページURL,,tokuten_button_purple.png,B,紫系ボタンでテスト
